group,AvgNeed,NumSchools,TotalNeed,MinNeed,StDevNeed,MaxNeed
s070,491.526315789,19,9339.0,108.0,345.860017994,1608.0
s071,412.666666667,18,7428.0,124.0,176.770040049,846.0
s072,528.785714286,14,7403.0,42.0,318.277135787,982.0
s073,495.4,15,7431.0,260.0,204.530402909,1023.0
s074,514.692307692,13,6691.0,108.0,362.200539438,1145.0
s075,433.0,15,6495.0,29.0,324.20936798,1125.0
s076,517.0,13,6721.0,155.0,346.050815151,1409.0
s077,578.5,10,5785.0,216.0,372.370559166,1438.0
s078,502.684210526,19,9551.0,216.0,203.366678313,1025.0
s079,453.705882353,17,7713.0,137.0,189.973275984,760.0
s063,869.6,15,13044.0,150.0,565.343738673,2437.0
s062,765.611111111,18,13781.0,285.0,409.799971132,2077.0
s061,927.266666667,15,13909.0,290.0,466.667435374,1925.0
s060,1184.57142857,14,16584.0,350.0,764.129742738,3553.0
s067,518.761904762,21,10894.0,201.0,250.230874346,1156.0
s066,590.052631579,19,11211.0,237.0,270.060378781,1083.0
s065,539.714285714,21,11334.0,238.0,287.759299217,1419.0
s064,665.0,15,9975.0,369.0,344.048169385,1692.0
s069,387.1,20,7742.0,32.0,196.639906,777.0
s068,1293.55555556,9,11642.0,636.0,720.247199077,3010.0
s058,1034.4375,16,16551.0,337.0,696.570070058,3177.0
s059,1186.35714286,14,16609.0,451.0,994.95539963,4408.0
s056,524.5,14,7343.0,73.0,248.508086852,949.0
s057,485.6,15,7284.0,82.0,351.018070353,1491.0
s054,833.647058824,17,14172.0,210.0,745.285678547,3566.0
s055,393.111111111,18,7076.0,110.0,194.090303085,749.0
s052,921.538461538,13,11980.0,381.0,485.463973154,1812.0
s053,741.384615385,13,9638.0,367.0,281.660119784,1130.0
s050,998.615384615,13,12982.0,356.0,912.47351911,3885.0
s051,747.1875,16,11955.0,262.0,505.004055264,2225.0
s049,766.214285714,14,10727.0,206.0,505.216355569,2108.0
s048,422.882352941,17,7189.0,112.0,269.019488688,1170.0
s041,512.4,20,10248.0,144.0,308.682667919,1442.0
s040,738.0,14,10332.0,289.0,764.295754273,3327.0
s043,501.5,20,10030.0,61.0,373.510163323,1700.0
s042,539.947368421,19,10259.0,232.0,239.094930864,1343.0
s045,445.727272727,22,9806.0,68.0,230.097118588,970.0
s044,564.210526316,19,10720.0,152.0,359.616397313,1798.0
s047,670.75,16,10732.0,236.0,609.744263332,2713.0
s046,427.2,20,8544.0,138.0,197.61221995,775.0
s038,1013.93333333,15,15209.0,256.0,872.159754916,3907.0
s039,1019.46666667,15,15292.0,236.0,744.658681801,3388.0
s034,442.052631579,19,8399.0,154.0,178.039157267,709.0
s035,517.444444444,18,9314.0,58.0,297.822730974,1157.0
s036,867.631578947,19,16485.0,405.0,547.590500945,2876.0
s037,660.3,20,13206.0,155.0,498.605011903,2500.0
s030,493.111111111,18,8876.0,293.0,125.052877705,790.0
s031,553.125,16,8850.0,25.0,300.988787167,1053.0
s032,774.0,11,8514.0,405.0,383.789525652,1517.0
s033,465.6875,16,7451.0,125.0,251.027679417,989.0
s029,1223.11111111,18,22016.0,311.0,1207.41366219,4289.0
s028,623.9,20,12478.0,205.0,317.021151544,1544.0
s027,353.9,10,3539.0,31.0,230.865256517,828.0
s026,358.083333333,12,4297.0,141.0,176.537123746,751.0
s025,548.428571429,14,7678.0,113.0,367.819503035,1358.0
s024,495.3125,16,7925.0,188.0,188.867755762,894.0
s023,411.666666667,18,7410.0,55.0,286.088838526,1044.0
s022,466.230769231,13,6061.0,167.0,263.109024882,1092.0
s021,564.545454545,11,6210.0,129.0,372.147649095,1274.0
s020,237.384615385,13,3086.0,60.0,135.03366152,476.0
s018,898.333333333,12,10780.0,223.0,492.927494822,1624.0
s019,267.857142857,7,1875.0,92.0,119.709966964,437.0
s012,400.9375,16,6415.0,227.0,151.577249282,779.0
s013,535.285714286,14,7494.0,60.0,175.170435059,758.0
s010,481.952380952,21,10121.0,269.0,141.800026865,737.0
s011,594.454545455,11,6539.0,303.0,247.658782859,1064.0
s016,667.5625,16,10681.0,222.0,353.420234989,1459.0
s017,519.2,20,10384.0,176.0,260.15715898,994.0
s014,398.705882353,17,6778.0,105.0,169.544155276,760.0
s015,440.611111111,18,7931.0,253.0,123.935532999,688.0
s092,635.5,8,5084.0,251.0,426.613240703,1363.0
s093,478.727272727,22,10532.0,193.0,239.960548706,955.0
s090,673.1875,16,10771.0,251.0,374.230271134,1721.0
s091,663.7,20,13274.0,299.0,394.93425169,2070.0
s096,313.0,8,2504.0,192.0,135.028039416,504.0
s097,435.714285714,14,6100.0,219.0,152.884284332,704.0
s094,507.894736842,19,9650.0,176.0,230.590279919,1030.0
s095,554.6,15,8319.0,78.0,423.07020694,1697.0
s098,379.0,11,4169.0,77.0,254.31083343,809.0
s099,654.235294118,17,11122.0,212.0,261.920438638,1272.0
s005,437.6,15,6564.0,156.0,392.68104105,1753.0
s004,1037.81818182,11,11416.0,233.0,898.257737866,3250.0
s007,473.0,19,8987.0,72.0,337.668640995,1356.0
s006,322.85,20,6457.0,105.0,160.193394634,663.0
s001,279.263157895,19,5306.0,49.0,165.507583615,772.0
s000,999.363636364,11,10993.0,130.0,1537.24092274,5534.0
s003,1028.09090909,11,11309.0,315.0,1015.43541937,3986.0
s002,454.833333333,18,8187.0,77.0,212.450201777,924.0
s009,537.642857143,14,7527.0,76.0,240.980244049,806.0
s008,530.352941176,17,9016.0,187.0,200.904498822,1005.0
s089,563.666666667,21,11837.0,197.0,336.785292632,1484.0
s088,631.714285714,21,13266.0,370.0,181.432120325,1060.0
s085,1055.23529412,17,17939.0,407.0,526.240145919,2148.0
s084,1248.0625,16,19969.0,226.0,686.7141539,2158.0
s087,1030.53846154,13,13397.0,196.0,899.679166461,3834.0
s086,1030.38461538,13,13395.0,175.0,863.810023333,3321.0
s081,823.304347826,23,18936.0,255.0,466.870863475,1950.0
s080,958.733333333,15,14381.0,309.0,575.718615132,2386.0
s083,957.0,20,19140.0,484.0,388.491549729,1975.0
s082,489.75,20,9795.0,218.0,220.624681303,981.0
