uhf34,mood1,mood2,mood3,mood4,mood5,mood6,agg_mood,nspd
1.0,4.45778364116,4.16226912929,4.31357048748,4.68601583113,4.12384716733,4.75197889182,8.20762327655,8.73186588972
2.0,4.3387755102,4.34489795918,4.28673469388,4.64387755102,3.9252814739,4.67959183673,7.28699914754,6.63166671566
3.0,4.21193771626,4.18961038961,4.09083044983,4.48051948052,3.84761904762,4.59515570934,4.65086825766,2.61909560484
4.0,4.33749025721,4.21996879875,4.21901792673,4.59236165238,4.04754481684,4.6539360873,6.77580488529,5.5515818544
5.0,4.13798701299,4.19500324465,4.10386238234,4.4377027904,3.77005521273,4.52826510721,3.82311054892,1.35595264588
6.0,4.32936507937,3.98543046358,4.09788359788,4.56821192053,4.0,4.63612217795,5.30194273408,3.9833051145
7.0,4.52483443709,4.13824503311,4.2309602649,4.68046357616,4.15269709544,4.75993377483,8.13194010503,8.88302655385
8.0,4.39173680184,4.2874617737,4.26758409786,4.65902140673,3.90199081164,4.74655436447,7.39040828363,8.07967657711
9.0,4.31640625,4.345703125,4.2255859375,4.611328125,3.85239491691,4.677734375,6.66201453403,6.68647458268
10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185
11.0,4.42335766423,4.04094631483,4.23406193078,4.60746812386,4.00818926297,4.64539653601,6.41496610377,6.53152013594
12.0,4.42141036534,4.34523809524,4.37021276596,4.65136054422,3.92602040816,4.74808510638,8.06519405428,8.018645945
13.0,4.36958710977,4.27391742195,4.29305135952,4.63608870968,4.02527805865,4.74672048436,7.71822059233,5.40644744438
14.0,4.37473903967,4.01989528796,4.22779519331,4.61337513062,4.0355276907,4.72413793103,6.49883981342,5.82904349688
15.0,4.23070469799,3.93718592965,4.02181208054,4.53227158424,3.80637049455,4.5788590604,3.61574589668,0.941989999715
16.0,4.266367713,4.18287243533,4.16607142857,4.51739518287,3.88025022341,4.63571428571,5.42550940782,4.74284801923
17.0,4.33052631579,4.16280701754,4.18653576438,4.50070126227,3.99368863955,4.59915907498,5.78252448947,5.50961543754
18.0,4.40220152413,4.27157360406,4.2538071066,4.63028764805,3.97800338409,4.70642978003,7.33865467356,7.8150569394
19.0,4.27552275523,4.20541205412,4.15129151292,4.53078817734,3.93849938499,4.65270935961,5.7922663465,3.85069142249
20.0,4.57111111111,4.11168639053,4.30029585799,4.73076923077,4.23281596452,4.78518518519,8.94092832017,9.86218286067
21.0,4.60625,4.19049604002,4.34277384423,4.75958333333,4.34014172572,4.81533972489,10.0,9.73224499419
22.0,4.54017857143,4.08630952381,4.25843253968,4.69097222222,4.1776674938,4.75186104218,8.19164556358,9.5995999891
23.0,4.42921601805,4.10333145116,4.19480519481,4.63846587704,4.1467268623,4.71065989848,7.2556256364,7.52555986699
24.0,4.34565434565,4.09290709291,4.17482517483,4.59240759241,4.06693306693,4.66633366633,6.3441851542,6.24605159853
25.0,4.3607118412,4.21599453178,4.24196855776,4.56322624744,4.15458276334,4.65550239234,7.1799933671,7.96273114203
26.0,4.44911690496,4.25356842989,4.28991596639,4.69495798319,4.21596638655,4.72268907563,8.61909274054,8.56385868669
27.0,4.51333872272,4.2253634895,4.35084882781,4.72940226171,4.24575586095,4.80371567044,9.39677054762,9.47083011807
28.0,4.40794223827,4.12623985573,4.23153153153,4.62488728584,4.09123757904,4.68169522092,7.08787546225,6.6144788219
29.0,4.28419182948,4.19005328597,4.20266666667,4.57866666667,4.02133333333,4.68950177936,6.47649587185,5.58509375742
30.0,4.38689547582,4.40763834762,4.39018691589,4.65109034268,4.03669008587,4.72890625,8.52762649546,7.41048554162
31.0,4.51473296501,4.38546458142,4.42870285189,4.72493100276,4.15009208103,4.81876724931,9.88463862698,10.0
32.0,4.38188976378,4.17322834646,4.21391076115,4.64435695538,4.00395256917,4.74375821288,7.1168807484,5.95867862413
33.0,4.39759036145,4.20467422096,4.21939136589,4.65864022663,4.06024096386,4.71600566572,7.37718395694,7.13405244539
34.0,4.48556149733,4.15865384615,4.30293333333,4.72266666667,4.24693333333,4.7856,8.86954244828,8.25758549935
