SchoolDist,TotalEnrollment,SchoolCount,agg_mood,nspd,NoGradRate,RelMedInc,PctNoWorkers,PctHSorLess,RelEnroll,RelNSPD,RelMood,Demand
13,24486.0,48,6.21014609028,5.55318486273,0.210471567268,0.309688159437,0.0774882221166,0.45455769609,0.398827266064,0.565874526952,0.340315873979,1.93635627308
22,33847.0,39,6.83626557709,6.62419091711,0.182066454256,0.425064478312,0.0541332054953,0.660391734267,0.551298965714,0.675011006174,0.273805186398,2.25197632158
1,13021.0,35,8.52762649546,7.41048554162,0.400555041628,0.411320046893,0.0826197957581,0.465831441036,0.212085674729,0.755135134884,0.0941372795569,1.94179877264
9,35651.0,71,8.86954244828,8.25758549935,0.346900141978,0.773650644783,0.155398107667,0.884145332292,0.580682465999,0.841455381681,0.057816632147,2.73345166418
32,12954.0,27,3.89535051794,1.47070752397,0.440438871473,0.606189917937,0.163601214894,0.81461574996,0.21099438065,0.149866418097,0.586209267123,2.17971237874
7,22203.0,49,8.86954244828,8.25758549935,0.444194756554,0.794053927315,0.213980515355,0.89053491787,0.36164182751,0.841455381681,0.057816632147,2.65439327816
15,31845.0,48,5.72666167256,4.77868701072,0.338269680436,0.29017116061,0.0438603717261,0.510355024828,0.518690447105,0.48695249996,0.391674890484,2.15778079657
16,9130.0,31,5.5096337905,4.27210210306,0.427570093458,0.692065650645,0.193975874664,0.785109408764,0.148709178272,0.435331042712,0.414729074172,2.26191485565
18,18371.0,38,7.50766828708,7.60087981125,0.400530503979,0.443141852286,0.0935045807724,0.775752009889,0.299226321362,0.774536482026,0.202484205618,2.33297673446
17,23013.0,48,6.98729077086,7.31535560858,0.324934383202,0.605871043376,0.0937953430238,0.737247474582,0.37483508429,0.745441309234,0.257762258984,2.4214299662
23,10340.0,30,8.13194010503,8.88302655385,0.569343065693,0.696801875733,0.240080142476,0.881574854227,0.168417623585,0.905188387083,0.136169790041,2.68834730262
26,34494.0,38,9.41381768232,9.49286935217,0.190884877183,0.260182883939,0.0191791935226,0.554874003893,0.561837283166,0.967331916165,0.0,2.13717211719
29,26240.0,45,8.13939294939,8.36348283847,0.309449636552,0.310274325909,0.0443857064921,0.74195644107,0.427396367782,0.852246415685,0.135378098018,2.27277875477
12,25164.0,53,8.51400210739,7.79807544643,0.4334625323,0.770813599062,0.179261763626,0.88314264325,0.409870510628,0.794630894428,0.0955845550964,2.65015749542
31,60192.0,69,7.26023613861,6.60598594598,0.223323346393,0.282405627198,0.0759706792667,0.694725333895,0.980405570486,0.67315590326,0.228768138112,2.63220377843
2,61395.0,114,7.36493937024,6.53764224875,0.277432954679,0.0,0.0346556356488,0.248215226154,1.0,0.666191619106,0.217645845842,2.30270585053
3,26465.0,53,5.78932540853,4.35149867232,0.249025552187,0.174044548652,0.0535666943598,0.305415642772,0.431061161332,0.443421624455,0.385018320527,1.77504010139
21,35664.0,43,6.80477875691,5.7842893756,0.299856527977,0.581861664713,0.0550001473785,0.679995821742,0.580894209626,0.589424284457,0.277149931458,2.40575377043
25,35790.0,43,8.78222453918,9.73927441151,0.333956619297,0.4812989449,0.039080700513,0.693073100063,0.582946494014,0.992440813102,0.0670921367342,2.58316243589
14,21703.0,47,3.73545068881,1.17404543359,0.296721311475,0.44445017585,0.0678980318145,0.611408585224,0.353497841844,0.119636284542,0.603194918909,1.93492875321
20,49744.0,44,7.08555609244,5.94077758097,0.30020847811,0.55658147714,0.0467435707221,0.723926000075,0.810228845997,0.605370573187,0.247323845484,2.62675726675
30,40734.0,48,9.33808020011,9.81345616074,0.260212418301,0.475085580305,0.0473120751817,0.638816682492,0.663474224285,1.0,0.00804535256232,2.51233916414
10,55056.0,85,6.67111957273,5.65501847021,0.339465725806,0.692994138335,0.138445111402,0.778223411436,0.896750549719,0.57625146305,0.291348122743,2.90864719191
4,17081.0,39,7.33865467356,7.8150569394,0.104667609618,0.750733880422,0.188019869672,0.752150860833,0.278214838342,0.796361323818,0.220437985819,2.24513406306
19,22262.0,47,7.4334797158,8.07578100485,0.422148209825,0.679001172333,0.209027508235,0.874879369244,0.362602817819,0.822929340344,0.210365022284,2.69949941518
5,19907.0,41,6.04262122275,5.86594946006,0.339055793991,0.66627901524,0.169184010794,0.682748534432,0.324244645329,0.597745520434,0.358111509415,2.3782632494
6,23049.0,46,5.43327060525,4.75951687615,0.375952582557,0.652994138335,0.0807444657486,0.706279274016,0.375421451258,0.484999046023,0.422840893185,2.37922291207
27,43112.0,58,7.71759666605,7.75443403237,0.383061383061,0.446536928488,0.0626339109454,0.770899869667,0.702207020116,0.790183795123,0.18018417963,2.69567173248
24,57048.0,53,9.01164974988,9.08568916205,0.24542008844,0.493017584994,0.0636681031387,0.780544568406,0.929196188615,0.925839888948,0.0427210241379,2.81179231841
28,40058.0,47,7.11521555806,7.64058291133,0.201821804725,0.440314185229,0.0396446308613,0.635716197363,0.652463555664,0.778582263596,0.244173214506,2.43487834522
11,40966.0,65,6.64132507728,5.57641779313,0.31669535284,0.528384525205,0.109887580854,0.76838417492,0.667253033635,0.568241983435,0.294513097512,2.55003160791
8,28501.0,56,7.44879195911,6.42136874028,0.546549835706,0.579460726846,0.157339336988,0.825323099016,0.464223470967,0.654343244123,0.208738451234,2.65491658345
